Marca,Modelo,Año,Color,Precio_EUR,Potencia_HP,Aceleracion_0_100_s,Pais_fabricacion,VIN
Audi,R8 V10 Performance,2022,Amarillo,196900.0,617,3.18,Alemania,WUAEGCU7E9H943AKJ
BMW,M4 Competition (G82),2024,Negro,116100.0,487,4.03,Alemania,WBSZYV52ULG15E1H2
Porsche,911 Turbo S (992),2024,Gris,248900.0,629,2.73,Alemania,WP0Y5XNTML6AMTYJS
Ferrari,F8 Tributo,2021,Amarillo,269500.0,715,2.8,Italia,ZFFSZ0WT3CPYV3DH8
Aston Martin,Vantage,2022,Azul,206700.0,489,3.67,Reino Unido,SCFAK0T5E7W79YJZH
Nissan,GT-R Nismo,2017,Verde lima,133000.0,628,2.97,Japón,JN19RCZ84HTMZH0JK
Audi,R8 V10 Performance,2023,Gris,181800.0,631,3.0,Alemania,WUAWLCFRET2LXRR9Y
Ferrari,F8 Tributo,2021,Amarillo,332100.0,721,3.12,Italia,ZFFV6W09T94XGMS5M
Chevrolet,Corvette C8 Z06,2023,Rojo burdeos,158500.0,690,2.65,EE.UU.,1G14FJE5U66VAK12L
Ferrari,F8 Tributo,2020,Azul,296400.0,709,2.87,Italia,ZFFTBAB5RFY9EWGWG
Ferrari,488 GTB,2016,Verde lima,229400.0,684,2.92,Italia,ZFFNKUGWKCRX6FRNJ
Aston Martin,Vantage,2021,Negro,166200.0,528,3.82,Reino Unido,SCF03YJENECG862KV
Ferrari,F8 Tributo,2024,Gris,287500.0,699,2.81,Italia,ZFFBC8PZHAGXJM7W4
Porsche,911 GT3 (992),2024,Azul eléctrico,169600.0,517,3.4,Alemania,WP0P5S0G7WPGRP6EX
Ferrari,488 GTB,2016,Gris mate,216700.0,644,2.8,Italia,ZFFWKT7822KY76F8R
BMW,M4 Competition (G82),2024,Rojo burdeos,126500.0,528,3.7,Alemania,WBS9T6YTH2PDVVFP6
Chevrolet,Corvette C8 Stingray,2021,Amarillo,81400.0,455,2.91,EE.UU.,1G1W5D13MF8D4DDEM
Porsche,911 GT3 (992),2023,Naranja,152800.0,522,3.44,Alemania,WP08GB7180NFL1BG3
Porsche,911 GT3 (992),2023,Azul eléctrico,189100.0,509,3.25,Alemania,WP06VZE2KW13XSU6Y
BMW,M4 Competition (G82),2022,Amarillo,102700.0,493,3.94,Alemania,WBS8HLRJWZU67DUVE
Nissan,GT-R Nismo,2020,Blanco,179000.0,591,2.91,Japón,JN1GP9X4555U6P83M
Lamborghini,Aventador S,2023,Rojo,406800.0,743,2.69,Italia,ZHWJKN6ZD9XE6NP7H
McLaren,570S,2024,Gris mate,242000.0,580,2.98,Reino Unido,SBM1H1BHKMN0B9S49
Ferrari,488 GTB,2021,Gris,264100.0,666,3.12,Italia,ZFFWMAPKL539A35HV
Nissan,GT-R Nismo,2015,Blanco,183100.0,584,2.81,Japón,JN1U7JYK2ES30DKD8
Bugatti,Chiron,2023,Gris,2683800.0,1525,2.39,Francia,VF9B8REZN4S2U1W4L
Nissan,GT-R Nismo,2014,Blanco,177700.0,579,2.72,Japón,JN1AWP5U6FUS5SKME
Aston Martin,DBS Superleggera,2023,Amarillo,263500.0,729,3.41,Reino Unido,SCFZCNN9F69GCB94B
Audi,R8 V10 Performance,2023,Gris mate,168200.0,601,3.13,Alemania,WUALL9V4XVKH3NZ4K
BMW,M4 Competition (G82),2023,Amarillo,101500.0,499,3.86,Alemania,WBS5ZRW2VCLXZ93V6
Aston Martin,DBS Superleggera,2023,Verde lima,272800.0,731,3.39,Reino Unido,SCFVAPPJRTM3M4M6R
Aston Martin,Vantage,2022,Naranja,206900.0,507,3.6,Reino Unido,SCFM59NKS85KRM85U
Chevrolet,Corvette C8 Stingray,2023,Azul,101800.0,508,3.01,EE.UU.,1G1E894J6Z2M8R9AB
Porsche,911 Turbo S (992),2022,Gris mate,219900.0,646,2.69,Alemania,WP0FVJVEFKXCPVWJR
Nissan,GT-R Nismo,2018,Rojo,194900.0,627,2.75,Japón,JN1XP67J5AHVZ9U5E
BMW,M4 Competition (G82),2024,Rojo,77000.0,502,4.11,Alemania,WBSSZPFR5PE1L6M98
Ferrari,F8 Tributo,2024,Verde lima,252900.0,714,3.12,Italia,ZFFV051GD9U7JFK73
McLaren,570S,2022,Amarillo,214500.0,562,3.01,Reino Unido,SBM7Y1ZF9JU0NFTB5
Chevrolet,Corvette C8 Stingray,2024,Rojo,63000.0,512,3.06,EE.UU.,1G1RX2RPG1N4NF6M8
Ferrari,F8 Tributo,2024,Naranja,288400.0,718,2.83,Italia,ZFFWXB84W2JC2C2LK
Chevrolet,Corvette C8 Z06,2023,Negro,139300.0,689,2.69,EE.UU.,1G1N3MH7PUSVRMBYY
Chevrolet,Corvette C8 Stingray,2020,Gris,82500.0,520,3.13,EE.UU.,1G15UBJL65LJKVUAV
Chevrolet,Corvette C8 Stingray,2023,Negro,105800.0,472,3.06,EE.UU.,1G134SPZA19V284FP
Chevrolet,Corvette C8 Stingray,2024,Naranja,101700.0,484,2.88,EE.UU.,1G1VPPV48PSLHF71B
Audi,R8 V10 Performance,2024,Verde lima,250200.0,587,3.07,Alemania,WUADJYC784VBV5LN4
Aston Martin,Vantage,2023,Gris mate,130400.0,527,3.78,Reino Unido,SCFBPZE7C8FY1PPW8
Lamborghini,Huracán EVO,2022,Gris,221900.0,654,2.95,Italia,ZHW48L4VWN8B8UZ37
Porsche,911 GT3 (992),2022,Blanco,206000.0,493,3.38,Alemania,WP0J5GCH8K5ZA9AM2
Ferrari,488 GTB,2018,Rojo burdeos,243700.0,702,3.14,Italia,ZFFT1YJKXFSKW43AV
Nissan,GT-R Nismo,2023,Naranja,191900.0,588,2.72,Japón,JN1LLNS8PZ6LFW7HV
McLaren,570S,2021,Azul,243600.0,573,3.23,Reino Unido,SBMALLCAYZWYKY15S
BMW,M4 Competition (G82),2023,Rojo,97800.0,500,3.98,Alemania,WBS3JYXJ06U8GPSP2
Chevrolet,Corvette C8 Z06,2024,Azul eléctrico,128700.0,688,2.75,EE.UU.,1G1VH786SPMP9CZSZ
Ferrari,F8 Tributo,2021,Verde lima,265900.0,729,2.96,Italia,ZFFW9Z8LLASKMZZYK
Audi,R8 V10 Performance,2023,Negro,169400.0,626,2.99,Alemania,WUA1XGE3XAR9F27C1
BMW,M4 Competition (G82),2022,Gris,107900.0,473,3.87,Alemania,WBSZX38DLXRLBWMNG
Audi,R8 V10 Performance,2021,Negro,189000.0,624,3.18,Alemania,WUADYLXNHJ7RSN9J2
Aston Martin,Vantage,2021,Gris mate,157300.0,506,3.65,Reino Unido,SCFGXDCHH86FF3EE3
Lamborghini,Aventador S,2017,Azul eléctrico,422700.0,720,3.0,Italia,ZHWATXXCJLJ35E2BT
Porsche,911 Turbo S (992),2023,Verde lima,226200.0,665,2.73,Alemania,WP0BJ20K6MJWY8ZWH
McLaren,720S,2019,Rojo,253300.0,725,2.8,Reino Unido,SBMMJCBSUZL5S6B8X
Aston Martin,DBS Superleggera,2021,Azul,278100.0,703,3.41,Reino Unido,SCFVHMK0GPF37WKAS
Aston Martin,Vantage,2019,Azul,181400.0,502,3.44,Reino Unido,SCF8X9WPTXDF5VP47
Ferrari,F8 Tributo,2020,Rojo burdeos,185900.0,715,3.02,Italia,ZFF9ALV7DY5ZV3W8Z
Nissan,GT-R Nismo,2014,Gris,139700.0,595,2.81,Japón,JN1G0D42UN434X2JT
Porsche,911 Turbo S (992),2023,Blanco,171600.0,656,2.72,Alemania,WP0RVRR58N7BS8E01
Aston Martin,Vantage,2019,Azul,139200.0,487,3.64,Reino Unido,SCFWN9HC72T1FD462
BMW,M4 Competition (G82),2021,Azul,86500.0,517,3.75,Alemania,WBS2SVED38ZJELLFK
Porsche,911 GT3 (992),2022,Gris mate,170400.0,528,3.39,Alemania,WP0UY3NRLTT9KRBXF
McLaren,570S,2022,Rojo,232400.0,576,3.14,Reino Unido,SBMTT8RFGDM5VP5C3
Bugatti,Chiron,2024,Azul,2641300.0,1485,2.51,Francia,VF9XDMK0DC7XFDSFL
Aston Martin,Vantage,2020,Negro,180200.0,511,3.49,Reino Unido,SCFGPZYW6XLDPLT2E
Porsche,911 GT3 (992),2023,Naranja,150700.0,529,3.42,Alemania,WP0CMERFYMGYYWANA
Porsche,911 GT3 (992),2021,Azul eléctrico,157600.0,498,3.37,Alemania,WP02430T8E490DZWP
Ferrari,F8 Tributo,2022,Rojo,226700.0,704,2.78,Italia,ZFF0T01HJ1ZUB669F
McLaren,720S,2022,Negro,239700.0,708,2.83,Reino Unido,SBMS5PSWFEK525SRR
Audi,R8 V10 Performance,2022,Gris mate,227600.0,622,3.11,Alemania,WUAM62EDXH24H2BL1
McLaren,720S,2023,Amarillo,226100.0,736,2.73,Reino Unido,SBMKAFRMR85ZN36UE
Lamborghini,Huracán EVO,2021,Rojo,263300.0,626,3.07,Italia,ZHWHVYENRUBR5JF45
Bugatti,Chiron,2018,Gris,2987500.0,1496,2.51,Francia,VF9LP650KVPH685BU
BMW,M4 Competition (G82),2021,Rojo burdeos,105200.0,493,3.85,Alemania,WBSLR0JTR5FARA8HK
Bugatti,Chiron,2022,Negro,2505900.0,1504,2.36,Francia,VF9TKX4PGFYCW68K0
Chevrolet,Corvette C8 Z06,2024,Gris,146300.0,660,2.85,EE.UU.,1G18KLCXLBSLJYFLR
Bugatti,Chiron,2017,Rojo burdeos,2157600.0,1487,2.45,Francia,VF9CB1WDVJ4TY8KFG
Porsche,911 GT3 (992),2024,Rojo burdeos,247000.0,504,3.19,Alemania,WP0SZT2P56FNA2SMU
Lamborghini,Aventador S,2020,Verde lima,352700.0,761,2.99,Italia,ZHWPSWZ9N1X6JT579
Chevrolet,Corvette C8 Stingray,2023,Amarillo,94200.0,489,3.12,EE.UU.,1G1VVL4K271M6AFBA
Aston Martin,DBS Superleggera,2019,Gris,241100.0,742,3.12,Reino Unido,SCFBBUS1CVUR0DDH4
Lamborghini,Aventador S,2018,Negro,326900.0,746,2.76,Italia,ZHWYLRS7NNWBK58L7
McLaren,570S,2017,Azul eléctrico,207000.0,577,3.17,Reino Unido,SBMRT8RUBYBAYJ8BL
BMW,M4 Competition (G82),2022,Gris,116500.0,488,3.74,Alemania,WBSZYTYTVYA51EJ2H
McLaren,570S,2022,Rojo burdeos,186000.0,565,3.13,Reino Unido,SBMYZ77HP2VDU6FK2
BMW,M4 Competition (G82),2021,Azul,125700.0,508,4.14,Alemania,WBSDNUA8DD3NHALJJ
Bugatti,Chiron,2017,Naranja,2367200.0,1516,2.54,Francia,VF9T3H88F9LFSY9HT
Chevrolet,Corvette C8 Z06,2024,Blanco,146800.0,650,2.75,EE.UU.,1G1WYL05WN4SDUDYH
Aston Martin,DBS Superleggera,2022,Naranja,246400.0,720,3.45,Reino Unido,SCFYM326W17AVW0UC
Porsche,911 GT3 (992),2021,Gris mate,231100.0,519,3.33,Alemania,WP0PG5PA3SKEU560D
Audi,R8 V10 Performance,2023,Gris mate,229900.0,598,3.24,Alemania,WUAV00M7U8X4ER566
Aston Martin,DBS Superleggera,2024,Naranja,223000.0,716,3.47,Reino Unido,SCF940AVND9TVD568
Lamborghini,Aventador S,2023,Blanco,322400.0,758,2.8,Italia,ZHW8FH5FJ1KDZCSJ3
McLaren,570S,2023,Rojo,151700.0,563,3.2,Reino Unido,SBMPL8RTPBX4140GD
Ferrari,F8 Tributo,2022,Azul eléctrico,215600.0,720,3.16,Italia,ZFFJZTUS59H5K5ZD9
Aston Martin,DBS Superleggera,2018,Negro,312200.0,709,3.51,Reino Unido,SCFUF3F5U7W3KB708
Ferrari,488 GTB,2023,Azul eléctrico,312000.0,650,3.15,Italia,ZFFGAP8H71MUH4G4Y
BMW,M4 Competition (G82),2022,Negro,105700.0,505,3.9,Alemania,WBS67EZ020F2XPR9B
Ferrari,F8 Tributo,2024,Gris mate,231800.0,713,2.65,Italia,ZFFTELFTLH4P7Z3BE
Ferrari,F8 Tributo,2021,Blanco,229000.0,725,2.89,Italia,ZFF5W0PCJKFWPYCF9
Ferrari,488 GTB,2023,Blanco,236700.0,673,3.02,Italia,ZFF0M0RK6DFTY39H5
Ferrari,F8 Tributo,2021,Verde lima,199900.0,748,2.78,Italia,ZFF56Z8S43U8FJGLS
Aston Martin,DBS Superleggera,2018,Azul,310400.0,722,3.36,Reino Unido,SCF8696AVWLT7NDVK
BMW,M4 Competition (G82),2021,Azul,112500.0,509,3.96,Alemania,WBSL95FNSZ3KGB1SV
McLaren,570S,2017,Amarillo,197400.0,589,3.25,Reino Unido,SBM03E8CSP5G414CV
Porsche,911 GT3 (992),2024,Rojo,195300.0,534,3.53,Alemania,WP0AUSY1RUBNDBHHV
Porsche,911 GT3 (992),2022,Gris mate,198600.0,503,3.56,Alemania,WP0JYTX35HR8TCF1R
Chevrolet,Corvette C8 Stingray,2022,Gris,80300.0,469,3.03,EE.UU.,1G1HB1LE1H3XNEA6F
McLaren,570S,2015,Azul,242200.0,586,3.18,Reino Unido,SBMRNBBFLN1N9CYKB
Audi,R8 V10 Performance,2022,Rojo,204900.0,625,3.11,Alemania,WUAMC8MBL31997P4P
Chevrolet,Corvette C8 Z06,2024,Naranja,130200.0,668,2.61,EE.UU.,1G1AUYLBNEBRKJ8B0
Chevrolet,Corvette C8 Z06,2024,Rojo burdeos,127900.0,685,2.53,EE.UU.,1G1E6Y9M4FNLA5MV0
Bugatti,Chiron,2021,Negro,3058100.0,1496,2.45,Francia,VF9603RVTATYRNR6X
McLaren,570S,2020,Negro,203500.0,573,3.24,Reino Unido,SBM64MARA45MX1UAU
Porsche,911 Turbo S (992),2021,Gris,240200.0,640,2.8,Alemania,WP0GJKF63SY93P0U5
Aston Martin,Vantage,2019,Naranja,149200.0,519,3.45,Reino Unido,SCFJ5X7KSXYG5RBPR
Chevrolet,Corvette C8 Stingray,2023,Verde lima,93800.0,496,3.01,EE.UU.,1G1GEH3965NTE3RTX
McLaren,570S,2023,Rojo burdeos,227000.0,564,3.21,Reino Unido,SBM97VBADC82U5UC9
Bugatti,Chiron,2017,Amarillo,3047200.0,1486,2.32,Francia,VF9RSLHW0T7T99666
Aston Martin,Vantage,2023,Verde lima,173500.0,531,3.42,Reino Unido,SCFX2BHS9S2SMF3XH
Chevrolet,Corvette C8 Stingray,2022,Negro,93200.0,487,3.22,EE.UU.,1G1HY6E8KVLHT5CVD
Nissan,GT-R Nismo,2022,Naranja,225500.0,599,2.6,Japón,JN14KZS81BCC3F2W3
Chevrolet,Corvette C8 Stingray,2023,Azul eléctrico,79600.0,474,2.97,EE.UU.,1G1S71FPYVBXNNAG5
Aston Martin,Vantage,2019,Azul,185300.0,515,3.61,Reino Unido,SCFEDHTZ10X8B0EGK
Bugatti,Chiron,2021,Verde lima,2667900.0,1479,2.3,Francia,VF9GDWKS60ZPJK6X4
Aston Martin,DBS Superleggera,2023,Gris mate,301100.0,746,3.39,Reino Unido,SCFKC9F3SL81YJGTS
Chevrolet,Corvette C8 Z06,2023,Blanco,112300.0,661,2.69,EE.UU.,1G1EXNZKABJ6X8GBM
Lamborghini,Huracán EVO,2021,Blanco,254900.0,642,2.98,Italia,ZHWGJW7X34XCZ7RKT
Ferrari,F8 Tributo,2020,Blanco,243800.0,709,2.95,Italia,ZFFTW9LB5YMBL30VH
McLaren,720S,2018,Naranja,264100.0,721,2.83,Reino Unido,SBMUUSUXR02CP0LC1
Ferrari,488 GTB,2020,Negro,220500.0,653,2.94,Italia,ZFF86RZKA42KJWMU8
Aston Martin,DBS Superleggera,2024,Gris,280000.0,742,3.4,Reino Unido,SCF1EE8D1ZA7P2RG3
Ferrari,F8 Tributo,2019,Rojo,211700.0,711,2.81,Italia,ZFF7TVR7GX9D0KT6H
Porsche,911 GT3 (992),2023,Amarillo,150600.0,482,3.53,Alemania,WP06YCCGCNTJA2YDX
Aston Martin,DBS Superleggera,2018,Amarillo,286700.0,723,3.4,Reino Unido,SCFY95Z46GEWJGW36
Porsche,911 Turbo S (992),2023,Amarillo,196900.0,671,2.53,Alemania,WP06208AMNVH5PMB7
Chevrolet,Corvette C8 Z06,2024,Verde lima,153600.0,687,2.59,EE.UU.,1G1TA783A6TXVBRN1
Porsche,911 GT3 (992),2021,Negro,213400.0,493,3.41,Alemania,WP0L0EM6UFXNR930A
Audi,R8 V10 Performance,2019,Verde lima,159000.0,610,3.24,Alemania,WUALFMH3ZERSF5WVV
Lamborghini,Huracán EVO,2024,Rojo,259700.0,650,2.8,Italia,ZHW6ST205KZDWMP3E
BMW,M4 Competition (G82),2024,Gris mate,122300.0,522,3.8,Alemania,WBSPV76E0MNJP62AY
Porsche,911 GT3 (992),2022,Azul,171600.0,521,3.22,Alemania,WP07SDWCM6T27VWZ8
Audi,R8 V10 Performance,2023,Gris,211400.0,626,3.3,Alemania,WUAXZBB86RLZRTFHS
Aston Martin,DBS Superleggera,2023,Azul eléctrico,309000.0,741,3.38,Reino Unido,SCFKLDCDJN8BZL7NX
Nissan,GT-R Nismo,2022,Negro,136300.0,612,2.68,Japón,JN1U061R933CHAJG9
Ferrari,F8 Tributo,2022,Amarillo,260200.0,715,2.81,Italia,ZFFERFZJ3RRTL30GC
BMW,M4 Competition (G82),2023,Rojo burdeos,71100.0,506,4.03,Alemania,WBSCCJVB4BBZ7R2UH
Bugatti,Chiron,2018,Rojo,2489400.0,1514,2.52,Francia,VF99L3KYN4LEB4ZAT
Chevrolet,Corvette C8 Z06,2023,Gris mate,148100.0,683,2.77,EE.UU.,1G1MMPJDX07NVFF2L
Chevrolet,Corvette C8 Z06,2024,Rojo,120300.0,701,2.55,EE.UU.,1G1PZZVY2JCLZ56A0
Lamborghini,Huracán EVO,2020,Gris mate,277100.0,652,2.94,Italia,ZHWU6DU491WM2543B
Bugatti,Chiron,2022,Verde lima,2540600.0,1482,2.34,Francia,VF9SUL1R70424NZ6J
Aston Martin,Vantage,2021,Gris,147900.0,521,3.52,Reino Unido,SCFS1XAE8SJ9KP097
Ferrari,F8 Tributo,2021,Azul,182000.0,740,2.91,Italia,ZFFNDTZ9ABEGC7B3W
Lamborghini,Huracán EVO,2019,Azul,242500.0,632,2.89,Italia,ZHWYMN8F6J4CLYVMK
Porsche,911 GT3 (992),2021,Blanco,177800.0,497,3.35,Alemania,WP0FEUHP8MXWVNKY6
Porsche,911 Turbo S (992),2022,Naranja,218700.0,665,2.67,Alemania,WP0CG441Z1SD2GX9P
Chevrolet,Corvette C8 Z06,2024,Azul eléctrico,138200.0,674,2.9,EE.UU.,1G1Z5SPZ0FAZ8VAB9
Audi,R8 V10 Performance,2022,Azul,206600.0,608,3.13,Alemania,WUA4GPE2DPRXW22L6
Bugatti,Chiron,2022,Blanco,2277200.0,1506,2.32,Francia,VF94GRESNNYX0Z8VA
McLaren,570S,2018,Naranja,209100.0,567,3.35,Reino Unido,SBMBAP7ETM7XXXDAT
Ferrari,488 GTB,2023,Rojo,223800.0,670,3.06,Italia,ZFF93AGBS1J5DVXXA
McLaren,570S,2024,Naranja,156200.0,566,3.28,Reino Unido,SBMZGAMW4ERR861CZ
Nissan,GT-R Nismo,2023,Rojo,217000.0,609,2.65,Japón,JN1Z75X80UTP2UEXR
Chevrolet,Corvette C8 Stingray,2024,Amarillo,78200.0,524,2.83,EE.UU.,1G1U8GXE5JTGC0070
Chevrolet,Corvette C8 Z06,2023,Gris,132000.0,657,2.55,EE.UU.,1G1GGUPHSDTXBPXGK
Chevrolet,Corvette C8 Stingray,2021,Gris mate,76600.0,508,3.02,EE.UU.,1G17EVA6DZSM3AR05
Porsche,911 GT3 (992),2023,Amarillo,208900.0,490,3.43,Alemania,WP02RSJ3BYV0CJC2Z
McLaren,570S,2020,Azul,161700.0,576,3.07,Reino Unido,SBM0A5HSNSSC045JN
Chevrolet,Corvette C8 Stingray,2023,Rojo burdeos,83000.0,507,2.98,EE.UU.,1G10GBTZ64ZJM7ZGG
BMW,M4 Competition (G82),2022,Blanco,95900.0,504,4.05,Alemania,WBSWW1X7G4REELTN0
Bugatti,Chiron,2017,Azul eléctrico,2179100.0,1500,2.45,Francia,VF9BXLNDHBCYCFFGD
McLaren,570S,2024,Blanco,210700.0,545,3.23,Reino Unido,SBM9675Y02XPLYHYB
Bugatti,Chiron,2022,Verde lima,2817200.0,1480,2.52,Francia,VF92ZNSBW7WL00DR6
Aston Martin,DBS Superleggera,2019,Azul eléctrico,343800.0,738,3.25,Reino Unido,SCFGFHXMPBYUDTPPS
Bugatti,Chiron,2017,Negro,3066000.0,1481,2.45,Francia,VF9FURC99X0BTY8LY
Aston Martin,Vantage,2018,Gris,207500.0,507,3.6,Reino Unido,SCF6A3DGX6VMGPPGN
Ferrari,488 GTB,2024,Rojo burdeos,219000.0,658,3.06,Italia,ZFFBJNLZYV5RJW9AM
Nissan,GT-R Nismo,2015,Amarillo,162700.0,582,2.69,Japón,JN1AMELLJHSHVPVTA
Porsche,911 Turbo S (992),2020,Azul,232500.0,655,2.65,Alemania,WP0AS664X31S56G95
Chevrolet,Corvette C8 Z06,2024,Verde lima,154700.0,681,2.67,EE.UU.,1G188A12NLXWHV8BW
Nissan,GT-R Nismo,2022,Azul,180400.0,579,2.77,Japón,JN15VKPTG9K008NJX
Ferrari,488 GTB,2022,Negro,201300.0,683,2.95,Italia,ZFF0UJE0PCTUSFARR
McLaren,570S,2024,Gris mate,193200.0,569,3.33,Reino Unido,SBMHJHTC4B8J7WVHY
McLaren,720S,2017,Naranja,280200.0,745,2.87,Reino Unido,SBM6JH8V0E590YDMT
Aston Martin,Vantage,2018,Blanco,134400.0,514,3.46,Reino Unido,SCF593HS4XBCGR07F
Chevrolet,Corvette C8 Z06,2023,Azul,117500.0,687,2.72,EE.UU.,1G1W6DXRKLA27GXKC
Chevrolet,Corvette C8 Stingray,2023,Blanco,91300.0,518,2.84,EE.UU.,1G10AH7SF02X9P5FA
Audi,R8 V10 Performance,2024,Rojo,233800.0,627,3.24,Alemania,WUA3N968YELNVC1RN
Porsche,911 GT3 (992),2024,Azul,180200.0,510,3.43,Alemania,WP0BNLWHA49VJGPW0
Chevrolet,Corvette C8 Z06,2024,Rojo burdeos,98000.0,652,2.67,EE.UU.,1G1FL4RCY9JLTL764
Ferrari,F8 Tributo,2022,Azul,278400.0,724,2.85,Italia,ZFF62RYG3PE40DY5W
Ferrari,F8 Tributo,2022,Blanco,309300.0,713,2.77,Italia,ZFF3H24K4D66ERCCF
Porsche,911 Turbo S (992),2024,Blanco,228600.0,632,2.64,Alemania,WP0WU6ABSZMAVNLLP
Nissan,GT-R Nismo,2019,Rojo burdeos,159900.0,574,2.81,Japón,JN1FDRGPVVS02J18K
Ferrari,488 GTB,2019,Azul eléctrico,244600.0,667,3.08,Italia,ZFFZ962WN98GPFEGK
Lamborghini,Huracán EVO,2020,Amarillo,210800.0,638,2.76,Italia,ZHWLXBY6K2R53MNUT
Lamborghini,Aventador S,2017,Gris mate,309100.0,747,2.84,Italia,ZHWR3K2L9LZE93SVZ
Lamborghini,Huracán EVO,2022,Naranja,258100.0,623,2.92,Italia,ZHW8M5X3SG5SZU88X
McLaren,720S,2020,Azul,277900.0,698,2.91,Reino Unido,SBM4HUL57TUPNCLN1
Aston Martin,Vantage,2024,Verde lima,179500.0,530,3.65,Reino Unido,SCF9V2ECP9573F9J0
Aston Martin,DBS Superleggera,2019,Azul eléctrico,271400.0,722,3.35,Reino Unido,SCFDDGX91R2GA3JCH
Ferrari,F8 Tributo,2019,Gris,280500.0,721,2.62,Italia,ZFFHP61JRERZ6LY5B
McLaren,720S,2020,Azul eléctrico,267300.0,703,2.9,Reino Unido,SBMKMYSA1NNNKFZH3
